DATE,STATE,CONFIRMED,RECOVERED,DECEASED,TOTAL TESTED
23-05-2021,Meghalaya,803,553,22,4149
25-05-2021,Uttar Pradesh,3723,10441,157,298814
02-04-2021,Delhi,3594,2084,14,87505
04-04-2021,Nagaland,1,\N,\N,164
15-04-2021,Karnataka,14738,3591,66,129400
16-04-2021,Telangana,3840,1198,9,121880
17-04-2021,Gujarat,9541,3783,97,173566
30-04-2021,Meghalaya,229,166,2,2547
04-05-2021,Lakshadweep,169,210,\N,1768
07-05-2021,Kerala,38460,26662,54,144345
08-05-2021,Uttar Pradesh,26636,34721,297,224529
18-05-2021,Jammu and Kashmir,3967,3823,71,41015
11-04-2021,Lakshadweep,5,3,\N,213
15-04-2021,Uttar Pradesh,22339,4222,104,206409
25-04-2021,Jammu and Kashmir,2381,866,21,44322
28-04-2021,Ladakh,116,137,\N,6766
29-04-2021,Himachal Pradesh,3040,1241,40,15260
11-05-2021,Punjab,8594,7324,214,62910
12-05-2021,Tripura,416,137,9,5388
12-05-2021,Andhra Pradesh,21452,19095,89,90750
18-05-2021,Chandigarh,526,867,6,2836
20-05-2021,Rajasthan,7680,16705,127,41724
22-05-2021,Delhi,2260,6453,182,63155
25-04-2021,Chandigarh,749,413,2,3800
28-04-2021,Maharashtra,63309,61181,1035,273125
29-04-2021,Mizoram,138,90,\N,3712
21-05-2021,Chhattisgarh,4943,9867,96,65642
02-04-2021,Tripura,4,5,\N,1053
02-04-2021,Andhra Pradesh,1288,610,5,31116
04-04-2021,Meghalaya,16,2,\N,1668
10-04-2021,Rajasthan,4401,562,18,56020
25-04-2021,Bihar,12795,7533,68,100491
27-04-2021,West Bengal,16403,10664,73,55287
02-05-2021,Punjab,7280,5244,157,58790
04-05-2021,Chhattisgarh,15785,12093,210,57034
10-05-2021,Jharkhand,6187,6962,129,100756
13-05-2021,Delhi,10489,15189,308,73675
15-05-2021,Nagaland,304,53,6,927
11-04-2021,Chhattisgarh,10521,5982,122,40178
22-04-2021,Nagaland,53,2,\N,266
09-05-2021,Bihar,11259,13364,67,109190
22-05-2021,Lakshadweep,317,143,2,3094
03-04-2021,Delhi,3567,2904,10,79617
16-04-2021,Bihar,6253,1853,13,100404
18-04-2021,Gujarat,10340,3981,110,165711
08-05-2021,Kerala,41971,27456,64,148546
10-05-2021,Assam,5803,4231,77,72197
19-05-2021,Jammu and Kashmir,3969,4338,62,48565
20-05-2021,Odisha,11498,9870,25,60598
07-04-2021,Goa,527,138,2,2639
09-04-2021,Madhya Pradesh,4882,2433,23,37462
12-04-2021,Lakshadweep,14,1,\N,361
15-04-2021,Kerala,8126,2700,20,60900
16-04-2021,Uttar Pradesh,27360,6429,103,223429
26-04-2021,Jammu and Kashmir,2135,1067,25,34530
29-04-2021,Andaman and Nicobar Islands,59,37,\N,1256
13-05-2021,Tripura,480,127,2,6234
13-05-2021,Andhra Pradesh,22399,18638,89,96446
15-05-2021,Meghalaya,560,215,21,3221
21-05-2021,Rajasthan,6225,18264,129,48232
07-04-2021,Karnataka,6976,2794,35,125390
08-04-2021,Telangana,2055,303,7,87332
20-04-2021,Tripura,60,16,\N,2566
20-04-2021,Andhra Pradesh,8987,3116,35,37922
22-04-2021,Meghalaya,180,68,\N,1981
26-04-2021,Chandigarh,821,477,5,3902
29-04-2021,Maharashtra,66159,68537,771,288213
20-05-2021,Haryana,6457,14734,129,50222
22-05-2021,Chhattisgarh,4328,10131,103,67142
03-04-2021,Lakshadweep,7,11,\N,497
05-04-2021,Meghalaya,4,7,\N,1108
07-04-2021,Uttar Pradesh,6002,1484,40,187304
28-04-2021,West Bengal,17207,11933,77,54936
03-05-2021,Punjab,6772,6016,155,36792
04-05-2021,Andhra Pradesh,20034,12207,82,115784
11-05-2021,Jharkhand,4365,7631,103,52712
14-05-2021,Delhi,8506,14140,289,68575
01-04-2021,Odisha,394,121,\N,29260
10-04-2021,Punjab,3239,2385,58,37774
12-04-2021,Chhattisgarh,13576,4865,132,45997
17-04-2021,Chandigarh,431,438,2,3016
21-04-2021,Delhi,24638,24600,249,78768
11-05-2021,Haryana,11637,15728,144,64874
11-05-2021,Arunachal Pradesh,205,232,4,2993
18-05-2021,Goa,1358,3120,45,3898
23-05-2021,Lakshadweep,193,141,\N,1854
02-04-2021,Rajasthan,1422,499,2,38126
04-04-2021,Delhi,4033,2677,21,86899
17-04-2021,Bihar,7870,1804,34,100555
19-04-2021,West Bengal,8426,4608,38,42118
30-04-2021,Lakshadweep,105,56,\N,1233
02-05-2021,Jharkhand,4738,4541,115,25421
07-05-2021,Nagaland,309,112,1,668
18-05-2021,Karnataka,30309,58395,525,93247
19-05-2021,Telangana,3837,4976,25,71070
01-04-2021,Haryana,1609,964,9,26420
03-04-2021,Chhattisgarh,5818,1328,36,40875
08-04-2021,Goa,582,107,2,3206
14-04-2021,Nagaland,13,102,\N,344
16-04-2021,Kerala,10031,3792,21,67775
14-05-2021,Tripura,552,200,2,5655
14-05-2021,Lakshadweep,173,102,\N,1153
16-05-2021,Meghalaya,569,354,19,3887
18-05-2021,Uttar Pradesh,8673,21108,255,280567
08-04-2021,Karnataka,6570,2393,36,108757
09-04-2021,Telangana,2478,363,5,101986
23-04-2021,Meghalaya,143,38,\N,2183
02-05-2021,Assam,2385,2831,30,23818
12-05-2021,Odisha,10982,8547,17,49191
21-05-2021,Punjab,5253,8652,172,73973
23-05-2021,Chhattisgarh,3306,7980,92,50722
04-04-2021,Lakshadweep,1,3,\N,531
08-04-2021,Uttar Pradesh,8474,1084,39,205229
18-04-2021,Jammu and Kashmir,1526,963,6,39840
30-04-2021,Chhattisgarh,14994,13677,269,59436
04-05-2021,Punjab,7514,6115,173,65777
05-05-2021,Tripura,240,59,\N,4486
05-05-2021,Andhra Pradesh,22204,11128,85,116367
13-05-2021,Rajasthan,15867,12929,159,72470
15-05-2021,Delhi,6430,11592,337,56811
02-04-2021,Odisha,461,218,\N,30716
11-04-2021,Punjab,3039,3121,59,37664
12-04-2021,Andhra Pradesh,3263,1091,11,33755
