Date,State,Confirmed,Recovered,Deceased,Total Tested
07-04-2021,Telangana,1914,285,5,74274
07-04-2021,Goa,527,138,2,2639
07-04-2021,Karnataka,6976,2794,35,125390
07-04-2021,Uttar Pradesh,6002,1484,40,187304
07-04-2021,Kerala,3502,1955,16,60554
07-04-2021,Nagaland,11,2,0,225
07-04-2021,Meghalaya,5,1,0,1765
07-04-2021,Delhi,5506,3363,20,90201
07-04-2021,Lakshadweep,19,4,0,319
07-04-2021,Chhattisgarh,10310,3819,53,42289
07-04-2021,Rajasthan,2801,783,12,49948
07-04-2021,Punjab,2963,2959,62,43482
07-04-2021,Jharkhand,1312,277,7,22105
07-04-2021,Assam,195,31,0,21162
07-04-2021,Himachal Pradesh,640,226,9,7400
07-04-2021,Mizoram,8,6,0,1149
08-04-2021,Maharashtra,56308,36130,376,236815
08-04-2021,Madhya Pradesh,4324,2296,27,33463
08-04-2021,Gujarat,4021,2197,35,134831
08-04-2021,Chandigarh,324,329,1,2522
08-04-2021,Bihar,1911,328,4,89704
08-04-2021,Andhra Pradesh,2558,915,6,31268
08-04-2021,Tripura,37,3,0,1512
08-04-2021,Odisha,879,228,0,31057
08-04-2021,Arunachal Pradesh,12,0,0,499
08-04-2021,Haryana,2872,969,11,32963
08-04-2021,Manipur,16,3,1,1069
08-04-2021,Uttarakhand,790,265,3,30074
08-04-2021,Andaman and Nicobar Islands,18,7,0,1638
08-04-2021,Puducherry,293,113,0,3451
08-04-2021,Tamil Nadu,4276,1869,19,85281
08-04-2021,West Bengal,2783,957,7,33499
08-04-2021,Jammu and Kashmir,835,246,1,44024
08-04-2021,Telangana,2055,303,7,87332
08-04-2021,Goa,582,107,2,3206
08-04-2021,Karnataka,6570,2393,36,108757
08-04-2021,Uttar Pradesh,8474,1084,39,205229
08-04-2021,Kerala,4355,2205,18,63901
08-04-2021,Nagaland,5,0,0,205
08-04-2021,Meghalaya,25,1,1,1781
08-04-2021,Delhi,7437,3687,24,91770
08-04-2021,Lakshadweep,8,3,0,276
08-04-2021,Chhattisgarh,10652,1316,94,48743
08-04-2021,Rajasthan,3526,520,20,52302
08-04-2021,Punjab,3070,2480,56,46372
08-04-2021,Jharkhand,1882,498,7,29729
08-04-2021,Assam,245,68,1,22888
08-04-2021,Himachal Pradesh,634,260,6,8440
08-04-2021,Mizoram,14,3,0,1374
09-04-2021,Maharashtra,59008,45391,301,245707
09-04-2021,Madhya Pradesh,4882,2433,23,37462
09-04-2021,Gujarat,4541,2280,42,134332
09-04-2021,Chandigarh,422,320,4,3260
09-04-2021,Bihar,2174,318,3,90751
09-04-2021,Andhra Pradesh,2765,1245,11,31892
09-04-2021,Tripura,32,8,0,1686
09-04-2021,Odisha,1282,310,1,29081
09-04-2021,Arunachal Pradesh,2,1,0,531
09-04-2021,Haryana,2994,1970,11,36226
09-04-2021,Manipur,12,8,0,650
09-04-2021,Uttarakhand,822,327,5,32169
09-04-2021,Andaman and Nicobar Islands,12,1,0,1552
09-04-2021,Puducherry,223,139,0,3751
09-04-2021,Tamil Nadu,5441,1890,23,88135
09-04-2021,West Bengal,3648,1146,8,36117
09-04-2021,Jammu and Kashmir,808,312,4,43035
09-04-2021,Telangana,2478,363,5,101986
09-04-2021,Goa,428,159,3,2761
09-04-2021,Karnataka,7955,3220,46,135163
09-04-2021,Uttar Pradesh,9587,583,36,197653
09-04-2021,Kerala,5065,2475,22,63240
09-04-2021,Meghalaya,42,6,0,2569
09-04-2021,Delhi,8521,5032,39,109398
09-04-2021,Lakshadweep,6,9,0,572
09-04-2021,Chhattisgarh,11447,2613,91,46711
09-04-2021,Rajasthan,3970,1005,12,54916
09-04-2021,Punjab,3404,2518,56,35492
09-04-2021,Jharkhand,1925,553,17,25718
09-04-2021,Assam,281,38,3,25119
09-04-2021,Himachal Pradesh,670,501,7,8496
09-04-2021,Mizoram,36,3,0,1388
10-04-2021,Maharashtra,55429,53005,309,219977
10-04-2021,Madhya Pradesh,4986,2741,24,37538
10-04-2021,Gujarat,5011,2525,49,149124
10-04-2021,Chandigarh,398,343,3,3115
10-04-2021,Bihar,3469,822,6,95112
10-04-2021,Andhra Pradesh,3309,1053,12,31929
10-04-2021,Tripura,41,1,0,1447
10-04-2021,Odisha,1374,403,2,33996
10-04-2021,Arunachal Pradesh,3,1,0,320
10-04-2021,Haryana,2937,1615,11,34236
10-04-2021,Manipur,11,1,0,1049
10-04-2021,Uttarakhand,1289,317,3,33668
10-04-2021,Andaman and Nicobar Islands,14,10,0,2113
10-04-2021,Puducherry,272,136,2,3821
10-04-2021,Tamil Nadu,5989,1952,23,84546
10-04-2021,West Bengal,4043,1268,12,36865
10-04-2021,Jammu and Kashmir,1005,359,6,42060
10-04-2021,Telangana,2909,584,6,111726
10-04-2021,Goa,540,167,1,2960
10-04-2021,Karnataka,6955,3350,36,98790
10-04-2021,Uttar Pradesh,12748,2207,46,212252
10-04-2021,Kerala,6194,2584,17,61957
10-04-2021,Nagaland,16,2,0,588
10-04-2021,Meghalaya,39,4,0,2310
10-04-2021,Delhi,7897,5716,39,77374
10-04-2021,Lakshadweep,10,5,0,396
10-04-2021,Chhattisgarh,14098,4983,123,50156
10-04-2021,Rajasthan,4401,562,18,56020
10-04-2021,Punjab,3239,2385,58,37774
10-04-2021,Jharkhand,2373,667,17,28874
10-04-2021,Assam,405,79,2,68075
10-04-2021,Himachal Pradesh,935,373,12,8615
10-04-2021,Mizoram,25,0,0,785
11-04-2021,Maharashtra,63326,34008,349,263137
11-04-2021,Madhya Pradesh,5939,3306,24,39288
11-04-2021,Gujarat,5469,2976,54,145177
11-04-2021,Chandigarh,402,357,3,3186
11-04-2021,Bihar,3756,1053,6,99023
11-04-2021,Andhra Pradesh,3495,1198,9,31719
11-04-2021,Tripura,48,0,0,1867
11-04-2021,Odisha,1379,459,0,31651
11-04-2021,Arunachal Pradesh,4,0,0,144
11-04-2021,Haryana,3440,1896,16,34856
11-04-2021,Manipur,10,3,1,727
11-04-2021,Uttarakhand,1333,243,8,32618
11-04-2021,Andaman and Nicobar Islands,15,2,0,2049
11-04-2021,Puducherry,306,206,2,3348
11-04-2021,Tamil Nadu,6618,2314,22,88538
11-04-2021,West Bengal,4398,1773,10,40372
11-04-2021,Jammu and Kashmir,915,330,5,43821
11-04-2021,Telangana,3187,787,7,115311
11-04-2021,Goa,525,170,2,2505
11-04-2021,Karnataka,10250,2638,40,132706
11-04-2021,Uttar Pradesh,15276,2769,67,203824
11-04-2021,Kerala,6987,2358,16,65003
11-04-2021,Nagaland,6,2,2,215
11-04-2021,Meghalaya,28,40,0,1886
11-04-2021,Delhi,10774,5158,48,114288
11-04-2021,Lakshadweep,5,3,0,213
11-04-2021,Chhattisgarh,10521,5982,122,40178
11-04-2021,Rajasthan,5105,1015,10,57413
11-04-2021,Punjab,3039,3121,59,37664
11-04-2021,Jharkhand,2296,635,21,39331
11-04-2021,Assam,352,36,1,73329
11-04-2021,Himachal Pradesh,570,506,0,5186
11-04-2021,Mizoram,29,1,0,1582
12-04-2021,Maharashtra,51773,52312,258,208021
12-04-2021,Madhya Pradesh,6489,3117,37,38306
12-04-2021,Gujarat,6021,2854,55,143278
12-04-2021,Chandigarh,424,375,1,3132
12-04-2021,Bihar,2999,636,6,80018
12-04-2021,Andhra Pradesh,3263,1091,11,33755
12-04-2021,Tripura,10,2,1,871
12-04-2021,Odisha,1741,538,2,30097
12-04-2021,Arunachal Pradesh,6,1,0,315
12-04-2021,Haryana,3818,2298,14,24988
12-04-2021,Manipur,18,22,0,912
12-04-2021,Uttarakhand,1533,605,7,36432
12-04-2021,Andaman and Nicobar Islands,11,10,0,1649
12-04-2021,Puducherry,512,232,2,3451
12-04-2021,Tamil Nadu,6711,2339,19,82982
12-04-2021,West Bengal,4511,1947,14,37116
12-04-2021,Jammu and Kashmir,991,418,0,34121
12-04-2021,Telangana,2251,565,6,79027
12-04-2021,Goa,476,231,2,2277
12-04-2021,Karnataka,9579,2767,52,116165
