Entry_ID,Date Announced,Detected District,Detected State,State code,Num Cases,Current Status
611830,18-05-2021,Nayagarh,Odisha,OR,254,Recovered
611831,18-05-2021,Nuapada,Odisha,OR,214,Recovered
611832,18-05-2021,Puri,Odisha,OR,707,Recovered
611833,18-05-2021,Rayagada,Odisha,OR,136,Recovered
611834,18-05-2021,Sambalpur,Odisha,OR,641,Recovered
611835,18-05-2021,Subarnapur,Odisha,OR,179,Recovered
611836,18-05-2021,Sundargarh,Odisha,OR,943,Recovered
611837,18-05-2021,State Pool,Odisha,OR,272,Recovered
611838,18-05-2021,East Khasi Hills,Meghalaya,ML,575,Hospitalized
611839,18-05-2021,Ribhoi,Meghalaya,ML,28,Hospitalized
611840,18-05-2021,West Garo Hills,Meghalaya,ML,56,Hospitalized
611841,18-05-2021,West Jaintia Hills,Meghalaya,ML,53,Hospitalized
611842,18-05-2021,East Jaintia Hills,Meghalaya,ML,64,Hospitalized
611843,18-05-2021,West Khasi Hills,Meghalaya,ML,31,Hospitalized
611844,18-05-2021,South West Garo Hills,Meghalaya,ML,41,Hospitalized
611845,18-05-2021,East Garo Hills,Meghalaya,ML,9,Hospitalized
611846,18-05-2021,South Garo Hills,Meghalaya,ML,20,Hospitalized
611847,18-05-2021,North Garo Hills,Meghalaya,ML,19,Hospitalized
611848,18-05-2021,South West Khasi Hills,Meghalaya,ML,10,Hospitalized
611849,18-05-2021,East Khasi Hills,Meghalaya,ML,281,Recovered
611850,18-05-2021,Ribhoi,Meghalaya,ML,35,Recovered
611851,18-05-2021,West Garo Hills,Meghalaya,ML,19,Recovered
611852,18-05-2021,West Jaintia Hills,Meghalaya,ML,17,Recovered
611853,18-05-2021,East Jaintia Hills,Meghalaya,ML,34,Recovered
611854,18-05-2021,West Khasi Hills,Meghalaya,ML,14,Recovered
611855,18-05-2021,South West Garo Hills,Meghalaya,ML,26,Recovered
611856,18-05-2021,East Garo Hills,Meghalaya,ML,9,Recovered
611857,18-05-2021,South Garo Hills,Meghalaya,ML,27,Recovered
611858,18-05-2021,North Garo Hills,Meghalaya,ML,8,Recovered
611859,18-05-2021,East Khasi Hills,Meghalaya,ML,17,Deceased
611860,18-05-2021,Ribhoi,Meghalaya,ML,1,Deceased
611861,18-05-2021,North Garo Hills,Meghalaya,ML,1,Deceased
611862,18-05-2021,Anantapur,Andhra Pradesh,AP,2804,Hospitalized
611863,18-05-2021,Chittoor,Andhra Pradesh,AP,2630,Hospitalized
611864,18-05-2021,Guntur,Andhra Pradesh,AP,1291,Hospitalized
611865,18-05-2021,Y.S.R. Kadapa,Andhra Pradesh,AP,1036,Hospitalized
611866,18-05-2021,Krishna,Andhra Pradesh,AP,1048,Hospitalized
611867,18-05-2021,Kurnool,Andhra Pradesh,AP,991,Hospitalized
611868,18-05-2021,S.P.S. Nellore,Andhra Pradesh,AP,1251,Hospitalized
611869,18-05-2021,Prakasam,Andhra Pradesh,AP,785,Hospitalized
611870,18-05-2021,Srikakulam,Andhra Pradesh,AP,1466,Hospitalized
611871,18-05-2021,Visakhapatnam,Andhra Pradesh,AP,2368,Hospitalized
611872,18-05-2021,Vizianagaram,Andhra Pradesh,AP,965,Hospitalized
611873,18-05-2021,Anantapur,Andhra Pradesh,AP,3683,Recovered
611874,18-05-2021,Chittoor,Andhra Pradesh,AP,2269,Recovered
611875,18-05-2021,Guntur,Andhra Pradesh,AP,1658,Recovered
611876,18-05-2021,Y.S.R. Kadapa,Andhra Pradesh,AP,1900,Recovered
611877,18-05-2021,Krishna,Andhra Pradesh,AP,976,Recovered
611878,18-05-2021,Kurnool,Andhra Pradesh,AP,743,Recovered
611879,18-05-2021,S.P.S. Nellore,Andhra Pradesh,AP,1145,Recovered
611880,18-05-2021,Prakasam,Andhra Pradesh,AP,472,Recovered
611881,18-05-2021,Srikakulam,Andhra Pradesh,AP,1398,Recovered
611882,18-05-2021,Visakhapatnam,Andhra Pradesh,AP,2681,Recovered
611883,18-05-2021,Vizianagaram,Andhra Pradesh,AP,989,Recovered
611884,18-05-2021,Anantapur,Andhra Pradesh,AP,8,Deceased
611885,18-05-2021,Chittoor,Andhra Pradesh,AP,10,Deceased
611886,18-05-2021,Guntur,Andhra Pradesh,AP,8,Deceased
611887,18-05-2021,Y.S.R. Kadapa,Andhra Pradesh,AP,2,Deceased
611888,18-05-2021,Krishna,Andhra Pradesh,AP,10,Deceased
611889,18-05-2021,Kurnool,Andhra Pradesh,AP,6,Deceased
611890,18-05-2021,S.P.S. Nellore,Andhra Pradesh,AP,5,Deceased
611891,18-05-2021,Prakasam,Andhra Pradesh,AP,9,Deceased
611892,18-05-2021,Srikakulam,Andhra Pradesh,AP,6,Deceased
611893,18-05-2021,Visakhapatnam,Andhra Pradesh,AP,8,Deceased
611894,18-05-2021,Vizianagaram,Andhra Pradesh,AP,10,Deceased
611895,18-05-2021,East Godavari,Andhra Pradesh,AP,2923,Hospitalized
611896,18-05-2021,West Godavari,Andhra Pradesh,AP,1762,Hospitalized
611897,18-05-2021,East Godavari,Andhra Pradesh,AP,9,Deceased
611898,18-05-2021,West Godavari,Andhra Pradesh,AP,8,Deceased
611899,18-05-2021,East Godavari,Andhra Pradesh,AP,2259,Recovered
611900,18-05-2021,West Godavari,Andhra Pradesh,AP,1101,Recovered
611901,18-05-2021,Lucknow,Uttar Pradesh,UP,482,Hospitalized
611902,18-05-2021,Varanasi,Uttar Pradesh,UP,326,Hospitalized
611903,18-05-2021,Kanpur Nagar,Uttar Pradesh,UP,157,Hospitalized
611904,18-05-2021,Prayagraj,Uttar Pradesh,UP,158,Hospitalized
611905,18-05-2021,Meerut,Uttar Pradesh,UP,440,Hospitalized
611906,18-05-2021,Gautam Buddha Nagar,Uttar Pradesh,UP,348,Hospitalized
